RC,year,URBACRES,AGACRES,INDACRES,RN
1,2010,2211148.185,38092.28031,74362.74567,California Southwest
1,2011,2218571.018,38088.0519,74677.79218,California Southwest
1,2012,2226813.756,38077.33002,74999.23882,California Southwest
1,2013,2235832.44,38060.6377,75327.08,California Southwest
1,2014,2245583.114,38038.49796,75661.31011,California Southwest
1,2015,2256021.82,38011.43384,76001.92354,California Southwest
1,2016,2267104.602,37979.96834,76348.91468,California Southwest
1,2017,2278787.503,37944.6245,76702.27794,California Southwest
1,2018,2291026.564,37905.92534,77062.00769,California Southwest
1,2019,2303777.83,37864.39389,77428.09833,California Southwest
1,2020,2316997.343,37820.55316,77800.54426,California Southwest
1,2021,2330641.146,37774.92619,78179.33986,California Southwest
1,2022,2344665.281,37728.036,78564.47954,California Southwest
1,2023,2359025.793,37680.40561,78955.95767,California Southwest
1,2024,2373678.723,37632.55805,79353.76867,California Southwest
1,2025,2388580.114,37585.01634,79757.90691,California Southwest
1,2026,2403686.01,37538.3035,80168.36679,California Southwest
1,2027,2418952.453,37492.94257,80585.14271,California Southwest
1,2028,2434335.487,37449.45656,81008.22906,California Southwest
1,2029,2449791.153,37408.3685,81437.62022,California Southwest
1,2030,2465275.496,37370.20141,81873.3106,California Southwest
1,2031,2480761.196,37335.42548,82314.69922,California Southwest
1,2032,2496287.487,37304.29958,82758.80371,California Southwest
1,2033,2511910.242,37277.02973,83202.04631,California Southwest
1,2034,2527685.333,37253.82194,83640.84929,California Southwest
1,2035,2543668.633,37234.88226,84071.63489,California Southwest
1,2036,2559916.014,37220.41669,84490.82537,California Southwest
1,2037,2576483.349,37210.63127,84894.843,California Southwest
1,2038,2593426.51,37205.73203,85280.11002,California Southwest
1,2039,2610801.37,37205.92498,85643.04869,California Southwest
1,2040,2628663.801,37211.41615,85980.08126,California Southwest
1,2041,2647027.227,37221.72317,86290.4367,California Southwest
1,2042,2665735.285,37233.61011,86584.57071,California Southwest
1,2043,2684589.161,37243.15264,86875.74573,California Southwest
1,2044,2703390.042,37246.42642,87177.22417,California Southwest
1,2045,2721939.116,37239.50713,87502.26846,California Southwest
1,2046,2740037.571,37218.47043,87864.14101,California Southwest
1,2047,2757486.592,37179.392,88276.10426,California Southwest
1,2048,2774087.368,37118.34751,88751.42061,California Southwest
1,2049,2789641.086,37031.41262,89303.35249,California Southwest
1,2050,2803948.934,36914.66302,89945.16232,California Southwest
1,2051,2816853.91,36766.22506,90683.56571,California Southwest
1,2052,2828366.261,36591.31415,91499.09102,California Southwest
1,2053,2838538.048,36397.26906,92365.71979,California Southwest
1,2054,2847421.328,36191.42858,93257.43357,California Southwest
1,2055,2855068.16,35981.1315,94148.21391,California Southwest
1,2056,2861530.605,35773.71662,95012.04236,California Southwest
1,2057,2866860.721,35576.52271,95822.90046,California Southwest
1,2058,2871110.566,35396.88856,96554.76976,California Southwest
1,2059,2874332.201,35242.15297,97181.6318,California Southwest
1,2060,2876577.684,35119.65472,97677.46813,California Southwest
1,2061,2877918.855,35034.77613,98024.23242,California Southwest
1,2062,2878506.675,34983.76213,98235.76675,California Southwest
1,2063,2878511.887,34960.98671,98333.88534,California Southwest
1,2064,2878105.232,34960.82388,98340.40239,California Southwest
1,2065,2877457.454,34977.64762,98277.13211,California Southwest
1,2066,2876739.295,35005.83193,98165.88872,California Southwest
1,2067,2876121.495,35039.7508,98028.48642,California Southwest
1,2068,2875774.799,35073.77822,97886.73941,California Southwest
1,2069,2875869.948,35102.2882,97762.46191,California Southwest
1,2070,2876577.684,35119.65472,97677.46813,California Southwest
1,2071,2878023.237,35121.6527,97648.52529,California Southwest
1,2072,2880149.785,35109.30721,97672.21262,California Southwest
1,2073,2882854.992,35085.06705,97740.06238,California Southwest
1,2074,2886036.523,35051.38101,97843.60683,California Southwest
1,2075,2889592.045,35010.69791,97974.37821,California Southwest
1,2076,2893419.22,34965.46652,98123.9088,California Southwest
1,2077,2897415.716,34918.13567,98283.73082,California Southwest
1,2078,2901479.196,34871.15414,98445.37655,California Southwest
1,2079,2905507.326,34826.97073,98600.37824,California Southwest
1,2080,2909397.77,34788.03425,98740.26813,California Southwest
1,2081,2913068.583,34756.14282,98858.36807,California Southwest
1,2082,2916519.369,34730.38928,98955.15824,California Southwest
1,2083,2919770.122,34709.22149,99032.90842,California Southwest
1,2084,2922840.836,34691.08733,99093.88836,California Southwest
1,2085,2925751.506,34674.43464,99140.36784,California Southwest
1,2086,2928522.124,34657.71131,99174.61662,California Southwest
1,2087,2931172.685,34639.3652,99198.90448,California Southwest
1,2088,2933723.183,34617.84417,99215.50119,California Southwest
1,2089,2936193.612,34591.59609,99226.6765,California Southwest
1,2090,2938603.964,34559.06883,99234.7002,California Southwest
1,2091,2940974.235,34518.71966,99241.84206,California Southwest
1,2092,2943324.418,34468.98647,99250.37183,California Southwest
1,2093,2945674.507,34408.31655,99262.55929,California Southwest
1,2094,2948044.496,34335.1572,99280.67421,California Southwest
1,2095,2950454.378,34247.95572,99306.98635,California Southwest
1,2096,2952924.148,34145.1594,99343.76549,California Southwest
1,2097,2955473.799,34025.21554,99393.28139,California Southwest
1,2098,2958123.325,33886.57144,99457.80383,California Southwest
1,2099,2960892.72,33727.67438,99539.60257,California Southwest
1,2100,2963801.979,33546.97167,99640.94738,California Southwest
2,2010,3561966.358,707703.5165,66867.26227,California Southeast
2,2011,3567107.45,707109.8377,67044.58015,California Southeast
2,2012,3572518.802,706554.9208,67232.47336,California Southeast
2,2013,3578189.72,706032.8578,67430.41404,California Southeast
2,2014,3584109.51,705537.7409,67637.87434,California Southeast
2,2015,3590267.478,705063.662,67854.32639,California Southeast
2,2016,3596652.93,704604.7133,68079.24233,California Southeast
2,2017,3603255.172,704154.9868,68312.0943,California Southeast
2,2018,3610063.511,703708.5746,68552.35443,California Southeast
2,2019,3617067.252,703259.5688,68799.49488,California Southeast
2,2020,3624255.702,702802.0614,69052.98776,California Southeast
2,2021,3631618.166,702330.1445,69312.30523,California Southeast
2,2022,3639143.951,701837.9101,69576.91943,California Southeast
2,2023,3646822.363,701319.4504,69846.30248,California Southeast
2,2024,3654642.707,700768.8573,70119.92653,California Southeast
2,2025,3662594.29,700180.223,70397.26372,California Southeast
2,2026,3670666.418,699547.6396,70677.78618,California Southeast
2,2027,3678848.397,698865.199,70960.96606,California Southeast
2,2028,3687129.533,698126.9933,71246.27549,California Southeast
2,2029,3695499.132,697327.1147,71533.18661,California Southeast
2,2030,3703946.5,696459.6552,71821.17156,California Southeast
2,2031,3712450.734,695523.2077,72109.43569,California Southeast
2,2032,3720950.089,694534.3688,72396.11711,California Southeast
2,2033,3729372.612,693514.236,72679.08719,California Southeast
2,2034,3737646.35,692483.9067,72956.21725,California Southeast
2,2035,3745699.349,691464.4783,73225.37864,California Southeast
2,2036,3753459.655,690477.0482,73484.44269,California Southeast
2,2037,3760855.314,689542.714,73731.28074,California Southeast
2,2038,3767814.374,688682.5731,73963.76413,California Southeast
2,2039,3774264.881,687917.7229,74179.76421,California Southeast
2,2040,3780134.88,687269.2608,74377.1523,California Southeast
2,2041,3785412.941,686743.9414,74555.5896,California Southeast
2,2042,3790329.721,686291.1472,74721.89669,California Southeast
2,2043,3795176.401,685845.918,74884.684,California Southeast
2,2044,3800244.159,685343.2933,75052.56197,California Southeast
2,2045,3805824.177,684718.3128,75234.14101,California Southeast
2,2046,3812207.633,683906.0162,75438.03157,California Southeast
2,2047,3819685.707,682841.443,75672.84407,California Southeast
2,2048,3828549.58,681459.6331,75947.18894,California Southeast
2,2049,3839090.431,679695.6259,76269.67662,California Southeast
2,2050,3851599.439,677484.4613,76648.91754,California Southeast
2,2051,3866225.092,674791.7878,77089.32959,California Southeast
2,2052,3882545.1,671705.6912,77578.56055,California Southeast
2,2053,3899994.481,668344.866,78100.06568,California Southeast
2,2054,3918008.25,664828.0068,78637.30022,California Southeast
2,2055,3936021.426,661273.8083,79173.71943,California Southeast
2,2056,3953469.026,657800.9653,79692.77854,California Southeast
2,2057,3969786.066,654528.1722,80177.93281,California Southeast
2,2058,3984407.564,651574.1237,80612.63748,California Southeast
2,2059,3996768.537,649057.5146,80980.34782,California Southeast
2,2060,4006304.003,647097.0395,81264.51905,California Southeast
2,2061,4012633.322,645774.2975,81453.99922,California Southeast
2,2062,4016113.235,645022.5062,81559.20749,California Southeast
2,2063,4017284.825,644737.7874,81595.95581,California Southeast
2,2064,4016689.178,644816.2634,81580.05613,California Southeast
2,2065,4014867.376,645154.056,81527.32039,California Southeast
2,2066,4012360.504,645647.2873,81453.56054,California Southeast
2,2067,4009709.647,646192.0793,81374.58854,California Southeast
2,2068,4007455.888,646684.5539,81306.21632,California Southeast
2,2069,4006140.312,647020.8333,81264.25584,California Southeast
2,2070,4006304.003,647097.0395,81264.51905,California Southeast
2,2071,4008354.342,646833.9313,81318.92179,California Southeast
2,2072,4012163.9,646250.8155,81423.79551,California Southeast
2,2073,4017471.544,645391.6357,81571.57555,California Southeast
2,2074,4024016.143,644300.3356,81754.69727,California Southeast
2,2075,4031536.565,643020.8588,81965.59601,California Southeast
2,2076,4039771.678,641597.1488,82196.70712,California Southeast
2,2077,4048460.349,640073.1495,82440.46594,California Southeast
2,2078,4057341.446,638492.8043,82689.30782,California Southeast
2,2079,4066153.837,636900.0569,82935.66811,California Southeast
2,2080,4074636.391,635338.8509,83171.98215,California Southeast
2,2081,4082579.786,633844.8369,83392.1882,California Southeast
2,2082,4089981.947,632420.4928,83596.2362,California Southeast
2,2083,4096892.61,631060.0033,83785.57897,California Southeast
2,2084,4103361.51,629757.5534,83961.66935,California Southeast
2,2085,4109438.384,628507.3276,84125.96019,California Southeast
2,2086,4115172.967,627303.511,84279.90432,California Southeast
2,2087,4120614.995,626140.2883,84424.95457,California Southeast
2,2088,4125814.204,625011.8442,84562.5638,California Southeast
2,2089,4130820.33,623912.3636,84694.18482,California Southeast
2,2090,4135683.108,622836.0312,84821.27049,California Southeast
2,2091,4140452.274,621777.0319,84945.27364,California Southeast
2,2092,4145177.565,620729.5505,85067.64711,California Southeast
2,2093,4149908.716,619687.7718,85189.84373,California Southeast
2,2094,4154695.462,618645.8805,85313.31635,California Southeast
2,2095,4159587.541,617598.0614,85439.51779,California Southeast
2,2096,4164634.686,616538.4995,85569.90091,California Southeast
2,2097,4169886.636,615461.3794,85705.91854,California Southeast
2,2098,4175393.124,614360.8859,85849.02351,California Southeast
2,2099,4181203.887,613231.2039,86000.66867,California Southeast
2,2100,4187368.661,612066.5182,86162.30685,California Southeast
4,2010,6891379.856,8125213.075,8695427.072,California North
4,2011,6920647.347,8122299.295,8693448.62,California North
4,2012,6951206.143,8116976.828,8691181.516,California North
4,2013,6983054.187,8111495.077,8688626.945,California North
4,2014,7016189.425,8105854.526,8685786.09,California North
4,2015,7050609.803,8100055.653,8682660.137,California North
4,2016,7086313.264,8094098.93,8679250.268,California North
4,2017,7123297.755,8087984.825,8675557.668,California North
4,2018,7161561.22,8081713.806,8671583.522,California North
4,2019,7201101.603,8075286.337,8667329.012,California North
4,2020,7241916.851,8068702.887,8662795.324,California North
4,2021,7284004.908,8061963.927,8657983.642,California North
4,2022,7327363.719,8055069.933,8652895.149,California North
4,2023,7371991.229,8048021.388,8647531.03,California North
4,2024,7417885.384,8040818.786,8641892.469,California North
4,2025,7465044.127,8033462.628,8635980.65,California North
4,2026,7513465.404,8025953.431,8629796.757,California North
4,2027,7563147.161,8018291.726,8623341.974,California North
4,2028,7614087.342,8010478.06,8616617.485,California North
4,2029,7666283.892,8002513.001,8609624.475,California North
4,2030,7719734.757,7994397.135,8602364.128,California North
4,2031,7774342.712,7986098.803,8594854.113,California North
4,2032,7829629.866,7977501.654,8587178.042,California North
4,2033,7885023.157,7968635.748,8579436.013,California North
4,2034,7939949.524,7959575.907,8571728.123,California North
4,2035,7993835.906,7950396.971,8564154.469,California North
4,2036,8046109.241,7941173.832,8556815.15,California North
4,2037,8096196.468,7931981.47,8549810.262,California North
4,2038,8143524.528,7922894.984,8543239.903,California North
4,2039,8187520.357,7913989.628,8537204.171,California North
4,2040,8227610.896,7905340.85,8531803.163,California North
4,2041,8263694.955,7897159.415,8527043.547,California North
4,2042,8297558.836,7890005.531,8522558.275,California North
4,2043,8331460.712,7883806.913,8517886.868,California North
4,2044,8367658.759,7878298.89,8512568.847,California North
4,2045,8408411.148,7873216.836,8506143.736,California North
4,2046,8455976.054,7868296.531,8498151.056,California North
4,2047,8512611.652,7863274.545,8488130.329,California North
4,2048,8580576.114,7857888.615,8475621.076,California North
4,2049,8662127.614,7851878.052,8460162.82,California North
4,2050,8759524.327,7844984.16,8441295.083,California North
4,2051,8873898.977,7836628.805,8418790.127,California North
4,2052,9001882.5,7825394.812,8393351.179,California North
4,2053,9138980.379,7811347.586,8365914.209,California North
4,2054,9280698.101,7795002.846,8337415.184,California North
4,2055,9422541.151,7776874.589,8308790.072,California North
4,2056,9560015.016,7757476.411,8280974.841,California North
4,2057,9688625.18,7737322.921,8254905.461,California North
4,2058,9803877.128,7716931.23,8231517.899,California North
4,2059,9901276.348,7696822.502,8211748.124,California North
4,2060,9976328.323,7677523.563,8196532.103,California North
4,2061,10026005.91,7660001.568,8186501.596,California North
4,2062,10053151.46,7646355.746,8181071.524,California North
4,2063,10062074.68,7636685.565,8179352.6,California North
4,2064,10057085.3,7630476.432,8180455.536,California North
4,2065,10042493.02,7627208.859,8183491.044,California North
4,2066,10022607.56,7626359.873,8187569.837,California North
4,2067,10001738.65,7627404.443,8191802.627,California North
4,2068,9984195.995,7629816.903,8195300.127,California North
4,2069,9974289.314,7633072.373,8197173.048,California North
4,2070,9976328.323,7636648.159,8196532.103,California North
4,2071,9993553.277,7639720.905,8192707.978,California North
4,2072,10024926.57,7640688.775,8185911.253,California North
4,2073,10068341.15,7639389.942,8176572.482,California North
4,2074,10121689.94,7636097.138,8165122.22,California North
4,2075,10182865.88,7631081.399,8151991.02,California North
4,2076,10249761.92,7624612.406,8137609.435,California North
4,2077,10320270.97,7616958.809,8122408.021,California North
