SC,SN,RC,RN,SMF,WMF,MMF,HMF,LSF,TSF,SSF,SMFDUA,WMFDUA,MMFDUA,HMFDUA,LSFDUA,TSFDUA,SSFDUA
4, Arizona ,8, Arizona Central South,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
4, Arizona ,9, Arizona West,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
4, Arizona ,10, Arizona North,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
4, Arizona ,23, Arizona Southeast,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
4, Arizona ,24, Arizona Central North,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
6, California ,1, California Southwest,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
6, California ,2, California Southeast,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
6, California ,4, California North,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
8, Colorado ,17, Colorado Front Range,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
8, Colorado ,18, Colorado In Basin,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
8, Colorado ,19, Colorado Not In Basin,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
32, Nevada ,5, Nevada South,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
32, Nevada ,6, Nevada In Basin,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
32, Nevada ,7, Nevada Not In Basin,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
35, New Mexico ,20, New Mexico Central,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
35, New Mexico ,21, New Mexico In Basin,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
35, New Mexico ,22, New Mexico Not In Basin,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
35, New Mexico ,25, New Mexico Gila,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
49, Utah ,11, Utah Salt Lake,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
49, Utah ,12, Utah In Basin,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
49, Utah ,13, Utah Not In Basin,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
56, Wyoming ,14, Wyoming Southwest,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
56, Wyoming ,15, Wyoming In Basin,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
56, Wyoming ,16, Wyoming Not In Basin,0.35,0.453,0.124,0.073,0.207,0.708,0.085,16,24,72,115,2.8,5,8.6
