SC,RC,RN,year,rainfall
4,8,Arizona Central South,2020,223
4,8,Arizona Central South,2021,192
4,8,Arizona Central South,2022,99
4,8,Arizona Central South,2023,129
4,8,Arizona Central South,2024,280
4,8,Arizona Central South,2025,95
4,8,Arizona Central South,2026,186
4,8,Arizona Central South,2027,114
4,8,Arizona Central South,2028,141
4,8,Arizona Central South,2029,121
4,8,Arizona Central South,2030,68
4,8,Arizona Central South,2031,39
4,8,Arizona Central South,2032,197
4,8,Arizona Central South,2033,164
4,8,Arizona Central South,2034,100
4,8,Arizona Central South,2035,196
4,8,Arizona Central South,2036,247
4,8,Arizona Central South,2037,176
4,8,Arizona Central South,2038,104
4,8,Arizona Central South,2039,101
4,8,Arizona Central South,2040,203
4,8,Arizona Central South,2041,126
4,8,Arizona Central South,2042,121
4,8,Arizona Central South,2043,437
4,8,Arizona Central South,2044,225
4,8,Arizona Central South,2045,158
4,8,Arizona Central South,2046,152
4,8,Arizona Central South,2047,86
4,8,Arizona Central South,2048,180
4,8,Arizona Central South,2049,201
4,8,Arizona Central South,2050,164
4,8,Arizona Central South,2051,243
4,8,Arizona Central South,2052,120
4,8,Arizona Central South,2053,204
4,8,Arizona Central South,2054,116
4,8,Arizona Central South,2055,147
4,8,Arizona Central South,2056,238
4,8,Arizona Central South,2057,88
4,8,Arizona Central South,2058,469
4,8,Arizona Central South,2059,128
4,8,Arizona Central South,2060,241
4,8,Arizona Central South,2061,280
4,8,Arizona Central South,2062,200
4,8,Arizona Central South,2063,278
4,8,Arizona Central South,2064,158
4,8,Arizona Central South,2065,244
4,8,Arizona Central South,2066,100
4,8,Arizona Central South,2067,96
4,8,Arizona Central South,2068,184
4,8,Arizona Central South,2069,42
4,8,Arizona Central South,2070,219
4,8,Arizona Central South,2071,44
4,8,Arizona Central South,2072,214
4,8,Arizona Central South,2073,125
4,8,Arizona Central South,2074,114
4,8,Arizona Central South,2075,190
4,8,Arizona Central South,2076,80
4,8,Arizona Central South,2077,463
4,8,Arizona Central South,2078,187
4,8,Arizona Central South,2079,76
4,8,Arizona Central South,2080,437
4,9,Arizona West,2020,209
4,9,Arizona West,2021,177
4,9,Arizona West,2022,85
4,9,Arizona West,2023,111
4,9,Arizona West,2024,270
4,9,Arizona West,2025,76
4,9,Arizona West,2026,152
4,9,Arizona West,2027,91
4,9,Arizona West,2028,102
4,9,Arizona West,2029,144
4,9,Arizona West,2030,88
4,9,Arizona West,2031,43
4,9,Arizona West,2032,205
4,9,Arizona West,2033,148
4,9,Arizona West,2034,81
4,9,Arizona West,2035,180
4,9,Arizona West,2036,217
4,9,Arizona West,2037,170
4,9,Arizona West,2038,100
4,9,Arizona West,2039,71
